BSR,LF,n,mean_r,median_r,geo_mean_r,sd_r,var_r,iqr_r,min_r,max_r,range_r,flag_spread,flag_low_n,any_flag,suggested
CC4,Habitat Complexity,5,3.8,4,3.727919273,0.836660027,0.7,1,3,5,2,FALSE,FALSE,FALSE,3.73
CC4,Decr. Sediment,5,3.2,3,3.177671523,0.447213595,0.2,0,3,4,1,FALSE,FALSE,FALSE,3.18
CC4,Incr. Sediment,5,3.8,4,3.776350045,0.447213595,0.2,0,3,4,1,FALSE,FALSE,FALSE,3.78
CC4,Barriers,3,4.666666667,5,4.641588834,0.577350269,0.333333333,0.5,4,5,1,FALSE,FALSE,FALSE,4.64
CC4,Predation,3,2,2,1.817120593,1,1,1,1,3,2,FALSE,FALSE,FALSE,1.82
CC4,Primary Prod.,3,3,4,2.5198421,1.732050808,3,1.5,1,4,3,FALSE,FALSE,FALSE,2.52
CC4,Non-Native/Competition,3,1.666666667,2,1.587401052,0.577350269,0.333333333,0.5,1,2,1,FALSE,FALSE,FALSE,1.59
CC4,Decr. Water Quant.,3,3.666666667,4,3.634241186,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.63
CC4,Altered Q Timing,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
CC4,Summer Temp,3,3.666666667,4,3.634241186,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.63
CC4,Winter Temp.,3,3.666666667,3,3.556893304,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,3.56
CC4,Water Quality,3,3.333333333,3,3.301927249,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.3
CC5,Riparian Cond.,5,3.8,4,3.776350045,0.447213595,0.2,0,3,4,1,FALSE,FALSE,FALSE,3.78
CC5,Floodplain Cond.,5,3.8,4,3.641128406,1.095445115,1.2,0,2,5,3,FALSE,FALSE,FALSE,3.64
CC5,Side Channel/Wetland,5,3.6,4,3.482202253,0.894427191,0.8,0,2,4,2,FALSE,FALSE,FALSE,3.48
CC5,Habitat Complexity,5,4,4,3.807307877,1.224744871,1.5,1,2,5,3,FALSE,FALSE,FALSE,3.81
CC5,Decr. Sediment,5,3.6,4,3.437543855,1.140175425,1.3,1,2,5,3,FALSE,FALSE,FALSE,3.44
CC5,Incr. Sediment,5,3.4,3,3.365865436,0.547722558,0.3,1,3,4,1,FALSE,FALSE,FALSE,3.37
CC5,Barriers,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91
CC5,Predation,3,4,5,3.684031499,1.732050808,3,1.5,2,5,3,FALSE,FALSE,FALSE,3.68
CC5,Primary Prod.,3,3.333333333,4,2.714417617,2.081665999,4.333333333,2,1,5,4,TRUE,FALSE,TRUE,2.71
CC5,Non-Native/Competition,3,1.666666667,2,1.587401052,0.577350269,0.333333333,0.5,1,2,1,FALSE,FALSE,FALSE,1.59
CC5,Decr. Water Quant.,3,3.666666667,4,3.634241186,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.63
CC5,Altered Q Timing,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
CC5,Summer Temp,3,3.666666667,3,3.556893304,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,3.56
CC5,Winter Temp.,3,3.666666667,4,3.419951893,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.42
CC5,Water Quality,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
CC6,Riparian Cond.,5,3,3,2.861938162,1,1,2,2,4,2,TRUE,FALSE,TRUE,2.86
CC6,Floodplain Cond.,5,3,3,2.8252345,1.224744871,1.5,1,2,5,3,FALSE,FALSE,FALSE,2.83
CC6,Side Channel/Wetland,5,3.2,3,2.992555739,1.303840481,1.7,2,2,5,3,TRUE,FALSE,TRUE,2.99
