bsr,basin,species,life_stage,LS_corrected_score_source,LS_corrected_score,species_aggregate_score,fish_use_score,population_priority,condition_vulnerability_sum,vulnerability_review_flag,impact_score,risk_score,risk_rank_within_bsr,species_life_stage_label
CC4,Catherine Creek,Steelhead,Migration,0.11,0.030640668523676882,0.75,0.2532,0.25,5.337140357142857,No,0.16353354854755275,0.04088338713688819,7,Steelhead | Migration
CC4,Catherine Creek,Steelhead,Spawning,1.06,0.2952646239554318,0.75,0.2532,0.25,4.532252678571429,No,1.3382138828093915,0.33455347070234787,2,Steelhead | Spawning
CC4,Catherine Creek,Steelhead,Summer Rearing,1.06,0.2952646239554318,0.75,0.2532,0.25,4.617836410714285,No,1.3634837312972543,0.3408709328243136,1,Steelhead | Summer Rearing
CC4,Catherine Creek,Steelhead,Winter Rearing,0.75,0.20891364902506965,0.75,0.2532,0.25,4.339207982142857,No,0.9065197734281735,0.22662994335704337,3,Steelhead | Winter Rearing
CC5,Catherine Creek,Bull Trout,FMO,0.93,0.2590529247910864,0.37,0.4663,0.4,4.678516339285714,Yes,1.2119833413748509,0.4847933365499404,1,Bull Trout | FMO
CC5,Catherine Creek,Bull Trout,Spawning & Resident,0.0,0.0,0.37,0.4663,0.6,4.462194267857143,Yes,0.0,0.0,10,Bull Trout | Spawning & Resident
CC5,Catherine Creek,Chinook,Migration,0.92,0.2562674094707521,0.93,0.4663,0.3,5.919269196428571,No,1.5169157829287705,0.45507473487863115,2,Chinook | Migration
CC5,Catherine Creek,Chinook,Spawning,0.74,0.20612813370473537,0.93,0.4663,0.12,4.621110482142857,No,0.952540879327497,0.11430490551929963,9,Chinook | Spawning
CC5,Catherine Creek,Chinook,Summer Rearing,1.01,0.28133704735376047,0.93,0.4663,0.21,4.5878570892857145,No,1.2907341671806607,0.2710541751079387,5,Chinook | Summer Rearing
CC5,Catherine Creek,Chinook,Winter Rearing,0.9,0.25069637883008355,0.93,0.4663,0.36,4.544963571428571,No,1.1394059092717865,0.41018612733784315,3,Chinook | Winter Rearing
CC5,Catherine Creek,Steelhead,Migration,0.74,0.20612813370473537,0.63,0.4663,0.25,5.556211446428571,No,1.1452914959212095,0.2863228739803024,4,Steelhead | Migration
CC5,Catherine Creek,Steelhead,Spawning,0.71,0.1977715877437326,0.63,0.4663,0.25,4.664339892857143,No,0.9224739063867887,0.23061847659669718,6,Steelhead | Spawning
CC5,Catherine Creek,Steelhead,Summer Rearing,0.71,0.1977715877437326,0.63,0.4663,0.25,4.615334892857143,No,0.9127821097294071,0.22819552743235177,7,Steelhead | Summer Rearing
CC5,Catherine Creek,Steelhead,Winter Rearing,0.37,0.10306406685236769,0.63,0.4663,0.25,4.532901482142857,No,0.467179261390768,0.116794815347692,8,Steelhead | Winter Rearing
CC6,Catherine Creek,Bull Trout,FMO,1.38,0.3844011142061281,0.55,0.6329,0.4,3.7632684107142853,Yes,1.446604570135296,0.5786418280541185,1,Bull Trout | FMO
CC6,Catherine Creek,Bull Trout,Spawning & Resident,0.0,0.0,0.55,0.6329,0.6,3.638830714285714,Yes,0.0,0.0,10,Bull Trout | Spawning & Resident
CC6,Catherine Creek,Chinook,Migration,0.83,0.23119777158774374,1.26,0.6329,0.3,4.841429678571428,No,1.1193277529844807,0.3357983258953442,4,Chinook | Migration
CC6,Catherine Creek,Chinook,Spawning,2.26,0.6295264623955431,1.26,0.6329,0.12,4.060798767857142,No,2.556380282829287,0.30676563393951445,5,Chinook | Spawning
CC6,Catherine Creek,Chinook,Summer Rearing,1.5,0.4178272980501393,1.26,0.6329,0.21,3.9008324464285713,No,1.6298742812375646,0.3422735990598886,2,Chinook | Summer Rearing
CC6,Catherine Creek,Chinook,Winter Rearing,0.9,0.25069637883008355,1.26,0.6329,0.36,3.778830857142857,No,0.947339212097095,0.3410421163549542,3,Chinook | Winter Rearing
CC6,Catherine Creek,Steelhead,Migration,0.69,0.19220055710306405,0.81,0.6329,0.25,4.420616035714286,No,0.8496448648030241,0.21241121620075604,8,Steelhead | Migration
CC6,Catherine Creek,Steelhead,Spawning,0.35,0.09749303621169916,0.81,0.6329,0.25,3.930410464285714,No,0.3831876497214484,0.0957969124303621,9,Steelhead | Spawning
CC6,Catherine Creek,Steelhead,Summer Rearing,1.06,0.2952646239554318,0.81,0.6329,0.25,3.8218993928571425,No,1.1284716870274574,0.28211792175686434,7,Steelhead | Summer Rearing
CC6,Catherine Creek,Steelhead,Winter Rearing,1.13,0.31476323119777155,0.81,0.6329,0.25,3.767468839285714,No,1.1858606652904893,0.2964651663226223,6,Steelhead | Winter Rearing
CC7,Catherine Creek,Bull Trout,FMO,1.38,0.3844011142061281,2.0,1.0,0.4,2.1724515535714284,Yes,0.8350927977516911,0.33403711910067646,2,Bull Trout | FMO
CC7,Catherine Creek,Bull Trout,Spawning & Resident,2.41,0.6713091922005572,2.0,1.0,0.6,2.0562396964285714,Yes,1.3803726095801832,0.8282235657481098,1,Bull Trout | Spawning & Resident
CC7,Catherine Creek,Chinook,Migration,0.6,0.1671309192200557,1.19,1.0,0.3,2.802742125,No,0.4684248676880223,0.14052746030640667,9,Chinook | Migration
CC7,Catherine Creek,Chinook,Spawning,2.26,0.6295264623955431,1.19,1.0,0.12,2.5132113214285714,No,1.5821330324313567,0.1898559638917628,4,Chinook | Spawning
CC7,Catherine Creek,Chinook,Summer Rearing,1.5,0.4178272980501393,1.19,1.0,0.21,2.380022732142857,No,0.9944384674691603,0.20883207816852367,3,Chinook | Summer Rearing
CC7,Catherine Creek,Chinook,Winter Rearing,0.9,0.25069637883008355,1.19,1.0,0.36,1.9849932857142856,No,0.4976306287306008,0.1791470263430163,5,Chinook | Winter Rearing
CC7,Catherine Creek,Steelhead,Migration,0.56,0.1559888579387187,0.95,1.0,0.25,2.3873540357142855,No,0.3724006295264624,0.0931001573816156,10,Steelhead | Migration
CC7,Catherine Creek,Steelhead,Spawning,1.06,0.2952646239554318,0.95,1.0,0.25,2.2428087321428567,No,0.6622220769001194,0.16555551922502984,7,Steelhead | Spawning
CC7,Catherine Creek,Steelhead,Summer Rearing,1.06,0.2952646239554318,0.95,1.0,0.25,2.2652110178571427,No,0.6688366793672902,0.16720916984182255,6,Steelhead | Summer Rearing
CC7,Catherine Creek,Steelhead,Winter Rearing,1.13,0.31476323119777155,0.95,1.0,0.25,1.990432982142857,No,0.626515116941902,0.1566287792354755,8,Steelhead | Winter Rearing
CC8,Catherine Creek,Bull Trout,FMO,0.0,0.0,0.0,0.2235,0.4,1.33926225,Yes,0.0,0.0,8,Bull Trout | FMO
CC8,Catherine Creek,Bull Trout,Spawning & Resident,0.0,0.0,0.0,0.2235,0.6,1.3765410535714284,Yes,0.0,0.0,8,Bull Trout | Spawning & Resident
CC8,Catherine Creek,Chinook,Migration,0.08,0.022284122562674095,0.27,0.2235,0.3,1.7535807857142856,No,0.03907700915240748,0.011723102745722244,7,Chinook | Migration
CC8,Catherine Creek,Chinook,Spawning,0.0,0.0,0.27,0.2235,0.12,1.5554093035714285,No,0.0,0.0,8,Chinook | Spawning
CC8,Catherine Creek,Chinook,Summer Rearing,0.5,0.1392757660167131,0.27,0.2235,0.21,1.5226809642857142,No,0.2120725576999602,0.04453523711699164,4,Chinook | Summer Rearing
CC8,Catherine Creek,Chinook,Winter Rearing,0.3,0.08356545961002786,0.27,0.2235,0.36,1.4731367678571428,No,0.12310335107441304,0.044317206386788696,5,Chinook | Winter Rearing
CC8,Catherine Creek,Steelhead,Migration,0.11,0.030640668523676882,0.66,0.2235,0.25,1.6201464642857142,No,0.049642370771985675,0.012410592692996419,6,Steelhead | Migration
CC8,Catherine Creek,Steelhead,Spawning,1.06,0.2952646239554318,0.66,0.2235,0.25,1.6798469999999999,No,0.4959993927576602,0.12399984818941505,1,Steelhead | Spawning
CC8,Catherine Creek,Steelhead,Summer Rearing,0.71,0.1977715877437326,0.66,0.2235,0.25,1.4026187142857143,No,0.27739813012335857,0.06934953253083964,3,Steelhead | Summer Rearing
CC8,Catherine Creek,Steelhead,Winter Rearing,0.75,0.20891364902506965,0.66,0.2235,0.25,1.4523237857142857,No,0.3034102616394747,0.07585256540986868,2,Steelhead | Winter Rearing
