bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
UGR17,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.54,1.28,0.6039,0.42896935933147634
UGR17,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.56,1.28,0.6039,0.1559888579387187
UGR17,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.69,0.63,0.6039,0.19220055710306405
UGR17,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.63,0.6039,0.24233983286908078
UGR17,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.7,0.63,0.6039,0.19498607242339833
UGR17,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.25,0.63,0.6039,0.06963788300835655
UGR17,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.59,0.6039,0.0
UGR17,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1.48,0.59,0.6039,0.41225626740947074
UGR18,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.78,0.66,0.6511,0.21727019498607245
UGR18,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.84,0.66,0.6511,0.233983286908078
UGR18,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.03,0.66,0.6511,0.28690807799442897
UGR18,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.06,0.66,0.6511,0.016713091922005572
UGR18,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.69,0.5,0.6511,0.19220055710306405
UGR18,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.5,0.6511,0.1615598885793872
UGR18,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.7,0.5,0.6511,0.19498607242339833
UGR18,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.03,0.5,0.6511,0.008356545961002786
UGR18,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,2.22,1.53,0.6511,0.6183844011142062
UGR18,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.49,1.53,0.6511,0.13649025069637882
UGR19,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.78,0.72,0.7778,0.21727019498607245
UGR19,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.84,0.72,0.7778,0.233983286908078
UGR19,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.03,0.72,0.7778,0.28690807799442897
UGR19,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.24,0.72,0.7778,0.06685236768802229
UGR19,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.77,0.7778,0.28690807799442897
UGR19,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.77,0.7778,0.24233983286908078
UGR19,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.77,0.7778,0.2924791086350975
UGR19,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.13,0.77,0.7778,0.036211699164345405
UGR19,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,2.22,1.73,0.7778,0.6183844011142062
UGR19,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.99,1.73,0.7778,0.2757660167130919
UGR20,Upper Grande Ronde,exact_identifier,Chinook,Spawning,2.36,1.16,0.8697,0.6573816155988857
UGR20,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1.25,1.16,0.8697,0.34818941504178275
UGR20,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.54,1.16,0.8697,0.42896935933147634
UGR20,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.17,1.16,0.8697,0.04735376044568246
UGR20,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.69,0.51,0.8697,0.19220055710306405
UGR20,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.51,0.8697,0.1615598885793872
UGR20,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.7,0.51,0.8697,0.19498607242339833
UGR20,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.07,0.51,0.8697,0.019498607242339837
UGR20,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,2.22,1.93,0.8697,0.6183844011142062
UGR20,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1.48,1.93,0.8697,0.41225626740947074
