bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
CC7,Catherine Creek,provisional_positional,Chinook,Spawning,2.26,1.19,1.0,0.6295264623955431
CC7,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.9,1.19,1.0,0.25069637883008355
CC7,Catherine Creek,provisional_positional,Chinook,Summer Rearing,1.5,1.19,1.0,0.4178272980501393
CC7,Catherine Creek,provisional_positional,Chinook,Migration,0.6,1.19,1.0,0.1671309192200557
CC7,Catherine Creek,provisional_positional,Steelhead,Spawning,1.06,0.95,1.0,0.2952646239554318
CC7,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,1.13,0.95,1.0,0.31476323119777155
CC7,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,1.06,0.95,1.0,0.2952646239554318
CC7,Catherine Creek,provisional_positional,Steelhead,Migration,0.56,0.95,1.0,0.1559888579387187
CC7,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,2.41,2.0,1.0,0.6713091922005572
CC7,Catherine Creek,provisional_positional,Bull Trout,FMO,1.38,2.0,1.0,0.3844011142061281
CC8,Catherine Creek,provisional_positional,Chinook,Spawning,0.0,0.27,0.2235,0.0
CC8,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.3,0.27,0.2235,0.08356545961002786
CC8,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.5,0.27,0.2235,0.1392757660167131
CC8,Catherine Creek,provisional_positional,Chinook,Migration,0.08,0.27,0.2235,0.022284122562674095
CC8,Catherine Creek,provisional_positional,Steelhead,Spawning,1.06,0.66,0.2235,0.2952646239554318
CC8,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.75,0.66,0.2235,0.20891364902506965
CC8,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.71,0.66,0.2235,0.1977715877437326
CC8,Catherine Creek,provisional_positional,Steelhead,Migration,0.11,0.66,0.2235,0.030640668523676882
CC8,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0.0,0.0,0.2235,0.0
