bsr,basin,species,species_aggregate_score,fish_use_score,life_stage_count,risk_score,vulnerability_review_flag,risk_rank_within_bsr
CC1,Catherine Creek,Bull Trout,0.37,0.4162,2,0.6824280214285715,Yes,3
CC1,Catherine Creek,Chinook,0.77,0.4162,4,1.901790520194986,No,1
CC1,Catherine Creek,Steelhead,0.58,0.4162,4,1.1952794472493036,No,2
CC2,Catherine Creek,Bull Trout,0.37,0.2803,2,0.6105661590728213,Yes,3
CC2,Catherine Creek,Chinook,0.46,0.2803,4,1.0682617716673297,No,1
CC2,Catherine Creek,Steelhead,0.33,0.2803,4,0.6366672019622961,No,2
CC3,Catherine Creek,Bull Trout,0.0,0.1722,2,0.0,Yes,3
CC3,Catherine Creek,Chinook,0.12,0.1722,4,0.20357270401910066,No,2
CC3,Catherine Creek,Steelhead,0.59,0.1722,4,0.6780490190882411,No,1
CC4,Catherine Creek,Bull Trout,0.0,0.2532,2,0.0,Yes,3
CC4,Catherine Creek,Chinook,0.3,0.2532,4,0.362152100109431,No,2
CC4,Catherine Creek,Steelhead,0.75,0.2532,4,0.942937734020593,No,1
CC5,Catherine Creek,Bull Trout,0.37,0.4663,2,0.48479333654994033,Yes,3
CC5,Catherine Creek,Chinook,0.93,0.4663,4,1.2506199428437126,No,1
CC5,Catherine Creek,Steelhead,0.63,0.4663,4,0.8619316933570433,No,2
CC6,Catherine Creek,Bull Trout,0.55,0.6329,2,0.5786418280541186,Yes,3
CC6,Catherine Creek,Chinook,1.26,0.6329,4,1.3258796752497015,No,1
CC6,Catherine Creek,Steelhead,0.81,0.6329,4,0.8867912167106048,No,2
CC7,Catherine Creek,Bull Trout,2.0,1.0,2,1.1622606848487864,Yes,1
CC7,Catherine Creek,Chinook,1.19,1.0,4,0.7183625287097094,No,2
CC7,Catherine Creek,Steelhead,0.95,1.0,4,0.5824936256839435,No,3
CC8,Catherine Creek,Bull Trout,0.0,0.2235,2,0.0,Yes,3
CC8,Catherine Creek,Chinook,0.27,0.2235,4,0.10057554624950259,No,2
CC8,Catherine Creek,Steelhead,0.66,0.2235,4,0.28161253882311976,No,1
CC9,Catherine Creek,Bull Trout,2.34,0.9056,2,0.39370062630322317,Yes,1
CC9,Catherine Creek,Chinook,0.7,0.9056,4,0.09818862999353362,No,3
CC9,Catherine Creek,Steelhead,0.71,0.9056,4,0.10604533753233186,No,2
UGR1,Upper Grande Ronde,Bull Trout,1.93,0.9101,2,0.5359062508555512,Yes,1
UGR1,Upper Grande Ronde,Chinook,1.12,0.9101,4,0.22874952933545567,No,2
UGR1,Upper Grande Ronde,Steelhead,0.72,0.9101,4,0.18129726068195384,No,3
UGR10,Upper Grande Ronde,Bull Trout,0.0,0.2541,2,0.0,Yes,3
UGR10,Upper Grande Ronde,Chinook,0.27,0.2541,4,0.12869799593613213,No,2
UGR10,Upper Grande Ronde,Steelhead,0.78,0.2541,4,0.3773287389574214,No,1
UGR11,Upper Grande Ronde,Bull Trout,0.4,0.4504,2,0.464181772741743,Yes,3
UGR11,Upper Grande Ronde,Chinook,0.83,0.4504,4,1.2675774202735774,No,1
UGR11,Upper Grande Ronde,Steelhead,0.64,0.4504,4,0.8004362704312575,No,2
UGR12,Upper Grande Ronde,Bull Trout,0.0,0.2281,2,0.0,Yes,3
UGR12,Upper Grande Ronde,Chinook,0.27,0.2281,4,0.21403816003382412,No,2
UGR12,Upper Grande Ronde,Steelhead,0.67,0.2281,4,0.5440957361594708,No,1
UGR13,Upper Grande Ronde,Bull Trout,0.0,0.2831,2,0.0,Yes,3
UGR13,Upper Grande Ronde,Chinook,0.33,0.2831,4,0.44843841152208513,No,2
UGR13,Upper Grande Ronde,Steelhead,0.84,0.2831,4,1.1301634996020693,No,1
UGR14,Upper Grande Ronde,Bull Trout,1.73,0.7206,2,1.306968868185436,Yes,1
UGR14,Upper Grande Ronde,Chinook,0.56,0.7206,4,0.3176036621179865,No,3
UGR14,Upper Grande Ronde,Steelhead,0.69,0.7206,4,0.4905185600751094,No,2
UGR15,Upper Grande Ronde,Bull Trout,0.59,0.6126,2,0.5012375983286907,Yes,3
UGR15,Upper Grande Ronde,Chinook,1.35,0.6126,4,1.2092114789474733,No,1
UGR15,Upper Grande Ronde,Steelhead,0.59,0.6126,4,0.5318652172577597,No,2
UGR16,Upper Grande Ronde,Bull Trout,0.0,0.327,2,0.0,Yes,3
UGR16,Upper Grande Ronde,Chinook,0.66,0.327,4,0.4317595275925189,No,2
UGR16,Upper Grande Ronde,Steelhead,0.7,0.327,4,0.4870997052949662,No,1
UGR17,Upper Grande Ronde,Bull Trout,0.59,0.6039,2,0.6399622445682451,Yes,3
UGR17,Upper Grande Ronde,Chinook,1.28,0.6039,4,1.4089437665270594,No,1
UGR17,Upper Grande Ronde,Steelhead,0.63,0.6039,4,0.7406334084013132,No,2
UGR18,Upper Grande Ronde,Bull Trout,1.53,0.6511,2,0.7313919581376841,Yes,1
UGR18,Upper Grande Ronde,Chinook,0.66,0.6511,4,0.28164298963788303,No,2
UGR18,Upper Grande Ronde,Steelhead,0.5,0.6511,4,0.2212280596274373,No,3
UGR19,Upper Grande Ronde,Bull Trout,1.73,0.7778,2,1.2032450337445284,Yes,1
UGR19,Upper Grande Ronde,Chinook,0.72,0.7778,4,0.46828584085953046,No,3
UGR19,Upper Grande Ronde,Steelhead,0.77,0.7778,4,0.5156567832645245,No,2
UGR2,Upper Grande Ronde,Bull Trout,0.0,0.1914,2,0.0,Yes,3
UGR2,Upper Grande Ronde,Chinook,0.0,0.1914,4,0.0031063647433346602,No,2
UGR2,Upper Grande Ronde,Steelhead,0.79,0.1914,4,0.6031320097368683,No,1
UGR20,Upper Grande Ronde,Bull Trout,1.93,0.8697,2,1.457747792160764,Yes,1
UGR20,Upper Grande Ronde,Chinook,1.16,0.8697,4,0.6729841994140469,No,2
UGR20,Upper Grande Ronde,Steelhead,0.51,0.8697,4,0.3192172490673498,No,3
UGR3,Upper Grande Ronde,Bull Trout,0.59,0.6514,2,0.7762418783923597,Yes,3
UGR3,Upper Grande Ronde,Chinook,1.08,0.6514,4,2.123330256076403,No,1
UGR3,Upper Grande Ronde,Steelhead,1.02,0.6514,4,1.460670823007859,No,2
UGR4,Upper Grande Ronde,Bull Trout,0.0,0.1873,2,0.0,Yes,2
UGR4,Upper Grande Ronde,Chinook,0.0,0.1873,4,0.0,No,2
UGR4,Upper Grande Ronde,Steelhead,0.77,0.1873,4,0.8830227961599681,No,1
UGR5,Upper Grande Ronde,Bull Trout,0.2,0.5242,2,0.3613795675487465,Yes,3
UGR5,Upper Grande Ronde,Chinook,1.16,0.5242,4,3.0676684202238365,No,1
UGR5,Upper Grande Ronde,Steelhead,0.82,0.5242,4,1.7123283807451253,No,2
UGR6,Upper Grande Ronde,Bull Trout,1.73,0.7643,2,1.2102230741543973,Yes,1
UGR6,Upper Grande Ronde,Chinook,0.62,0.7643,4,0.35911405725925194,No,3
UGR6,Upper Grande Ronde,Steelhead,0.82,0.7643,4,0.5705980631466375,No,2
UGR7,Upper Grande Ronde,Bull Trout,0.2,0.3375,2,0.35925819610027854,Yes,3
UGR7,Upper Grande Ronde,Chinook,0.65,0.3375,4,1.7426255965141266,No,1
UGR7,Upper Grande Ronde,Steelhead,0.55,0.3375,4,1.131543473114803,No,2
UGR8,Upper Grande Ronde,Bull Trout,0.0,0.0044,2,0.0,Yes,2
UGR8,Upper Grande Ronde,Chinook,0.02,0.0044,4,0.033196185340230805,No,1
UGR8,Upper Grande Ronde,Steelhead,0.0,0.0044,4,0.0,No,2
UGR9,Upper Grande Ronde,Bull Trout,0.2,0.3184,2,0.26380169289693595,Yes,3
UGR9,Upper Grande Ronde,Chinook,0.59,0.3184,4,1.1348321531257464,No,1
UGR9,Upper Grande Ronde,Steelhead,0.53,0.3184,4,0.7901964179516515,No,2
