map_group,category,score_field,scale_min,scale_max,output_file,scale_basis,action_observed_max,action_max_rank,action_type_count,fill_alpha
Overall risk,,overall_risk_score,0.0,5.141376368517708,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\overall_risk.png,,,,,
Overall benefit,,overall_benefit_score,0.0,12.72363692350595,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\overall_benefit_score.png,,,,,
Risk by species,Bull Trout,risk_score,0.0,3.0676684202238365,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\risk_by_species\risk_bull_trout.png,,,,,
Risk by species,Chinook,risk_score,0.0,3.0676684202238365,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\risk_by_species\risk_chinook.png,,,,,
Risk by species,Steelhead,risk_score,0.0,3.0676684202238365,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\risk_by_species\risk_steelhead.png,,,,,
Highest Risk-Aligned Life Stage,,highest_risk_species_life_stage,,,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\highest_risk_aligned_life_stage.png,,,,,
Highest Risk-Aligned Limiting Factor,,highest_risk_limiting_factor,,,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\highest_risk_aligned_limiting_factor.png,,,,,
Highest Risk-Aligned Benefit Action Type,,_highest_risk_aligned_action_type_display,,,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\highest_risk_aligned_benefit_action_type.png,,,,,
"Preliminary BSR Tiers, Scenario I: Overall Risk Thirds",,_scenario_i_tier,,,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\preliminary_bsr_tiers_scenario_i.png,,,,,
"Preliminary BSR Tiers, Scenario II: Species Top-Two and Overall Risk Rank",,_scenario_ii_tier,,,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\preliminary_bsr_tiers_scenario_ii.png,,,,,
Highest risk-aligned action benefit score,,highest_action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\highest_risk_aligned_action_benefit_score.png,,,,,
"Benefit score by action type, shared scale",Fish Passage – Barrier Removal and Replacement,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_fish_passage_barrier_removal_and_replacement.png,Maximum across all action types,0.7650898096162952,7.0,11.0,0.84
